order_id,order_date,customer_id,product_id,product_category,brand,price,discount_percent,delivery_location,size,color,customer_history_returns,return_flag,return_reason,days_to_return
ORD100000,2024-01-31,CUST17270,PROD2459,Activewear,BrandE,1034.03,0,Delhi,XL,Red,0,0,,
ORD100001,2024-04-01,CUST11184,PROD1459,Accessories,BrandA,2748.56,20,Delhi,L,Red,0,1,Late Delivery,2.0
ORD100002,2024-08-17,CUST16310,PROD2297,Activewear,BrandG,476.13,0,Mumbai,L,Grey,0,0,,
ORD100003,2025-05-24,CUST11021,PROD2413,Tops,BrandD,553.92,40,Pune,XXL,Grey,0,0,,
ORD100004,2024-09-02,CUST14859,PROD1187,Footwear,BrandA,321.7,10,Bengaluru,M,Blue,0,0,,
ORD100005,2025-12-14,CUST17215,PROD1502,Bottoms,BrandB,724.53,10,Hyderabad,M,Green,1,1,Quality,2.0
ORD100006,2024-02-21,CUST10863,PROD1742,Footwear,BrandD,1045.56,0,Bengaluru,M,Green,0,0,,
ORD100007,2024-04-21,CUST12693,PROD1795,Ethnic,BrandB,2315.71,10,Delhi,XS,Blue,1,1,Fit/Sizing,15.0
ORD100008,2024-03-12,CUST13445,PROD2695,Footwear,BrandE,329.56,10,Mumbai,S,Blue,0,0,,
ORD100009,2024-09-17,CUST17392,PROD1384,Tops,BrandA,1344.34,20,Kolkata,M,Black,0,0,,
ORD100010,2024-07-26,CUST11147,PROD1186,Tops,BrandA,836.41,0,Chennai,M,Red,0,0,,
ORD100011,2024-03-01,CUST16616,PROD2969,Activewear,BrandG,623.1,0,Lucknow,L,Red,2,0,,
ORD100012,2024-01-02,CUST14499,PROD1151,Bottoms,BrandG,749.46,0,Pune,L,Yellow,0,0,,
ORD100013,2024-05-22,CUST10160,PROD2603,Tops,BrandB,850.98,30,Kolkata,XS,Red,0,0,,
ORD100014,2024-01-09,CUST16170,PROD1225,Bottoms,BrandE,350.36,30,Mumbai,M,Black,1,0,,
ORD100015,2024-06-11,CUST10301,PROD1180,Footwear,BrandG,825.08,10,Pune,M,White,1,0,,
ORD100016,2024-04-18,CUST10154,PROD1489,Activewear,BrandE,341.0,30,Hyderabad,S,Grey,0,0,,
ORD100017,2024-05-05,CUST13847,PROD1511,Bottoms,BrandA,653.7,10,Delhi,XXL,Blue,0,0,,
ORD100018,2024-02-13,CUST15173,PROD2002,Tops,BrandD,1089.43,50,Bengaluru,XXL,Green,0,0,,
ORD100019,2024-04-15,CUST11682,PROD1656,Bottoms,BrandC,1799.79,0,Delhi,XS,Red,0,0,,
ORD100020,2024-01-26,CUST14992,PROD2295,Footwear,BrandE,1252.58,10,Mumbai,M,Green,0,0,,
ORD100021,2024-08-18,CUST15881,PROD1521,Activewear,BrandG,853.91,20,Hyderabad,XS,Green,0,0,,
ORD100022,2024-02-18,CUST11568,PROD2952,Ethnic,BrandF,788.59,20,Mumbai,XL,Green,0,0,,
ORD100023,2024-04-18,CUST17113,PROD2625,Bottoms,BrandB,1693.68,20,Chennai,XL,Red,1,1,Fit/Sizing,7.0
ORD100024,2024-05-20,CUST16806,PROD2213,Footwear,BrandB,2199.6,30,Delhi,XS,Black,1,1,Fit/Sizing,20.0
ORD100025,2025-08-07,CUST17551,PROD2587,Footwear,BrandE,1003.18,20,Hyderabad,XL,Red,1,0,,
ORD100026,2024-01-18,CUST10953,PROD1491,Activewear,BrandF,2071.93,30,Chennai,XL,Green,1,0,,
ORD100027,2024-02-28,CUST13141,PROD2275,Tops,BrandF,1621.97,0,Bengaluru,XXL,Blue,0,0,,
